date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:40	89476/89476	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d84-5fee0028-40521acf8f40ab4b;gz%22	http://ietechennai.in/assets/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/jquery/jquery.min.js	(from http://ietechennai.in/)
11:25:42	84152/84152	---M-Z	200	added ('OK')	application/x-javascript	etag:%22148b8-5fee0028-87471b5ebacb853e;gz%22	http://ietechennai.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://ietechennai.in/)
11:25:42	2532/2532	---M-Z	200	added ('OK')	application/x-javascript	etag:%229e4-5fee0028-4b315beb13aa227a;gz%22	http://ietechennai.in/assets/vendor/jquery.easing/jquery.easing.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/jquery.easing/jquery.easing.min.js	(from http://ietechennai.in/)
11:25:43	3663/3663	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e4f-5fee0028-78674851483654;gz%22	http://ietechennai.in/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/php-email-form/validate.js	(from http://ietechennai.in/)
11:25:46	9028/9028	---M-Z	200	added ('OK')	application/x-javascript	etag:%222344-5fee0028-de10b7b5f2abbb85;gz%22	http://ietechennai.in/assets/vendor/waypoints/jquery.waypoints.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/waypoints/jquery.waypoints.min.js	(from http://ietechennai.in/)
11:25:49	2406/2406	---M-Z	200	added ('OK')	application/x-javascript	etag:%22966-5fee0028-d6d6fe95e953744c;gz%22	http://ietechennai.in/assets/vendor/counterup/counterup.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/counterup/counterup.min.js	(from http://ietechennai.in/)
11:25:50	44342/44342	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad36-5fee0028-864d2e0be5620e38;gz%22	http://ietechennai.in/assets/vendor/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/owl.carousel/owl.carousel.min.js	(from http://ietechennai.in/)
11:25:53	14690/14690	---M-Z	200	added ('OK')	application/x-javascript	etag:%223962-5fee0028-c889e21f8b192f12;gz%22	http://ietechennai.in/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/aos/aos.js	(from http://ietechennai.in/)
11:25:54	4403/4403	---M-Z	200	added ('OK')	application/x-javascript	etag:%221133-5fee0028-361bcdbe057f977;gz%22	http://ietechennai.in/assets/js/main.js	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/js/main.js	(from http://ietechennai.in/)
11:26:17	93260/93260	---M--	200	added ('OK')	font/woff2	etag:%2216c4c-5fee0028-113860ee333ff29b;;;%22	http://ietechennai.in/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/fonts/boxicons.woff2	(from http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css)
11:26:21	273536/273536	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2242c80-5fee0028-f17e4b16e39d7af3;gz%22	http://ietechennai.in/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/fonts/boxicons.eot	(from http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css)
11:26:43	273368/273368	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2242bd8-5fee0028-784e5d62027bdef7;gz%22	http://ietechennai.in/assets/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/fonts/boxicons.ttf	(from http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css)
11:26:48	975365/975365	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ee205-5fee0028-d23863f13e7711e9;gz%22	http://ietechennai.in/assets/vendor/boxicons/fonts/boxicons.svg?	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css)
11:27:06	273444/273444	---M--	200	added ('OK')	application/font-woff	etag:%2242c24-5fee0028-56a538b5d73d7dec;;;%22	http://ietechennai.in/assets/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/boxicons/fonts/boxicons.woff	(from http://ietechennai.in/assets/vendor/boxicons/css/boxicons.min.css)
11:27:16	537868/537868	---M--	200	added ('OK')	font/woff2	etag:%228350c-5fee0028-6de33a1a6ed03d8e;;;%22	http://ietechennai.in/assets/vendor/icofont/fonts/icofont.woff2	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/icofont/fonts/icofont.woff2	(from http://ietechennai.in/assets/vendor/icofont/icofont.min.css)
11:27:17	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226271c-5fee0028-8ee0845677387d6d;gz%22	http://ietechennai.in/assets/vendor/remixicon/remixicon.eot?t=1590207869815	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/remixicon/remixicondf6d.eot	(from http://ietechennai.in/assets/vendor/remixicon/remixicon.css)
11:27:24	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%221e954-5fee0028-f6528127c884aaf9;;;%22	http://ietechennai.in/assets/vendor/remixicon/remixicon.woff2?t=1590207869815	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/remixicon/remixicondf6d.woff2	(from http://ietechennai.in/assets/vendor/remixicon/remixicon.css)
11:27:37	1195522/1195522	---MCZ	200	added ('OK')	image/svg+xml	etag:%22123e02-5fee0028-2559407a3e46cff;gz%22	http://ietechennai.in/assets/vendor/remixicon/remixicon.svg?t=1590207869815	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/remixicon/remixicondf6d.svg	(from http://ietechennai.in/assets/vendor/remixicon/remixicon.css)
11:27:39	645604/645604	---M--	200	added ('OK')	application/font-woff	etag:%229d9e4-5fee0028-c59c4fbab51ed474;;;%22	http://ietechennai.in/assets/vendor/icofont/fonts/icofont.woff	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/icofont/fonts/icofont.woff	(from http://ietechennai.in/assets/vendor/icofont/icofont.min.css)
11:27:41	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-5fee0028-1c85e564a6961ee9;;;%22	http://ietechennai.in/assets/vendor/owl.carousel/assets/owl.video.play.png	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/owl.carousel/assets/owl.video.play.png	(from http://ietechennai.in/assets/vendor/owl.carousel/assets/owl.carousel.min.css)
11:27:49	40080/40080	---M--	200	added ('OK')	image/jpeg	etag:%22604b4628-9c90%22	https://unitus.vc/wp-content/uploads/2019/09/Indian-students-2-1-600x400.jpg	C:/My%20Web%20Sites/IETE/unitus.vc/wp-content/uploads/2019/09/Indian-students-2-1-600x400.jpg	(from http://ietechennai.in/assets/css/style.css)
11:27:50	172876/172876	---M--	200	added ('OK')	application/font-woff	etag:%222a34c-5fee0028-8cea258038f0b951;;;%22	http://ietechennai.in/assets/vendor/remixicon/remixicon.woff?t=1590207869815	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/remixicon/remixicondf6d.woff	(from http://ietechennai.in/assets/vendor/remixicon/remixicon.css)
11:27:51	403056/403056	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2262670-5fee0028-2a79b0b1a981ad34;gz%22	http://ietechennai.in/assets/vendor/remixicon/remixicon.ttf?t=1590207869815	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/vendor/remixicon/remixicondf6d.ttf	(from http://ietechennai.in/assets/vendor/remixicon/remixicon.css)
11:27:56	15076/15076	---M--	200	added ('OK')	image/png	etag:%226732bd426c60b47172b1c7296e886a60%22	https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_640.png	C:/My%20Web%20Sites/IETE/cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_640.png	(from http://ietechennai.in/trainers.html)
11:28:07	114553/114553	---M--	200	added ('OK')	image/jpeg	etag:%221bf79-62780658-575dd31c2b75377d;;;%22	http://ietechennai.in/assets/img/trainers/6.jpg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/6.jpg	(from http://ietechennai.in/trainers.html)
11:28:08	69931/69931	---M--	200	added ('OK')	image/jpeg	etag:%221112b-62780657-24029580e847442e;;;%22	http://ietechennai.in/assets/img/trainers/4.jpg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/4.jpg	(from http://ietechennai.in/trainers.html)
11:28:11	133964/133964	---M--	200	added ('OK')	image/jpeg	etag:%2220b4c-62780659-85a1992d811ebfad;;;%22	http://ietechennai.in/assets/img/trainers/tata_sudhakar.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/tata_sudhakar.jpg	(from http://ietechennai.in/trainers.html)
11:28:12	201493/201493	---M--	200	added ('OK')	image/jpeg	etag:%2231315-5fee0028-7826c4344a644f0;;;%22	http://ietechennai.in/assets/img/about.jpg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/about.jpg	(from http://ietechennai.in/about.html)
11:28:20	71633/71633	---M--	200	added ('OK')	image/jpeg	etag:%22117d1-62780659-172acfeb49f0d474;;;%22	http://ietechennai.in/assets/img/trainers/arunkumar.jpeg	C:/My%20Web%20Sites/IETE/ietechennai.in/assets/img/trainers/arunkumar.jpg	(from http://ietechennai.in/trainers.html)
